event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SRI6008,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Bopitiya,7.0709,79.8643,1,"Hiru News",National,"On 21 May 2022, people staged a protest in Bopitiya (Bopitiya, Western) and blocked the Ja-Ela-Negombo road demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6006,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Southern,Galle,,Galle,6.0367,80.217,2,"Hiru News",National,"On 21 May 2022, people staged a protest in Galle-Devata area near Galle (Galle, Southern) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6013,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Piliyandala,6.7999,79.9249,2,"Hiru News",National,"On 21 May 2022, people staged a protest near Piliyandala (Piliyandala, Western) demanding fuel and blocked the Colombo-Horana road amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6005,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Sabaragamuwa,Kegalle,,Warakapola,7.2226,80.1887,1,"News1st (Sri Lanka)",National,"On 21 May 2022, people staged a protest in Warakapola (Warakapola, Sabaragamuwa) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6004,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Sabaragamuwa,Kegalle,,Mawanella,7.2519,80.4453,1,"News1st (Sri Lanka)",National,"On 21 May 2022, people staged a protest in Mawanella (Mawanella, Sabaragamuwa) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6014,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Yakkala,7.0869,80.0271,1,"News1st (Sri Lanka)",National,"On 21 May 2022, people staged a protest in Yakkala (Yakkala, Western) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI6003,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Sabaragamuwa,Ratnapura,,Balangoda,6.6466,80.7007,1,"Hiru News",National,"On 21 May 2022, people staged a protest in Balandoda (Balangoda, Sabaragamuwa) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1714518557
SRI6022,"21 May 2022",2022,1,Demonstrations,Protests,"Protest with intervention","Protesters (Sri Lanka)","Students (Sri Lanka)",6,"Police Forces of Sri Lanka (2019-)",,1,16,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,"Hiru News",National,"On 21 May 2022, police intervened in a protest held in Colombo (Colombo) by students against the government. The police used water canons and tear gas to disperse the protesters. It is unclear what the protesters demanded.",0,"crowd size=no report",1714518557
SRI6012,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Orugodawatta,6.9453,79.8814,1,"Hiru News",National,"On 21 May 2022, people staged a protest in Orugodawatta (Orugodawatta, Western) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1714572605
SRI6011,"21 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Nugegoda,6.8735,79.8899,2,"Hiru News",National,"On 21 May 2022, people staged a protest near the Nugegoga-Nawala fuel station near Nugegoda (Nugegoda, Western) demanding fuel amid the current economic crisis.",0,"crowd size=no report",1719352735
